League,GameTime,Teams,History
MLB,N/A,Baltimore Orioles Seattle Mariners,[6/5/2025 4:33:53 PM] Moneyline: -140 | Spread: -1.5 | SpreadOdds: +152 | Total: O 5.5 | TotalOdds: -138; [6/5/2025 4:35:33 PM] Moneyline: +110 | Spread: +1.5 | SpreadOdds: -290 | Total: O 6.5 | TotalOdds: -136; [6/5/2025 5:07:23 PM] Moneyline: +450 | Spread: +1.5 | SpreadOdds: +140 | Total: O 6.5 | TotalOdds: -152; [6/5/2025 5:10:50 PM] Moneyline: N/A | Spread: N/A | SpreadOdds: N/A | Total: N/A | TotalOdds: N/A; [6/5/2025 5:15:07 PM] Moneyline: -194 | Spread: -1.5 | SpreadOdds: +172 | Total: O 9.5 | TotalOdds: -146; [6/5/2025 5:20:07 PM] Moneyline: -265 | Spread: -1.5 | SpreadOdds: +152 | Total: O 9.5 | TotalOdds: -106; [6/5/2025 5:25:06 PM] Moneyline: -225 | Spread: -1.5 | SpreadOdds: +200 | Total: O 9.5 | TotalOdds: +116;
MLB,N/A,Detroit Tigers Chicago White Sox,[6/5/2025 4:33:53 PM] Moneyline: -113 | Spread: -1.5 | SpreadOdds: +260 | Total: O 5.5 | TotalOdds: -158; [6/5/2025 4:35:33 PM] Moneyline: N/A | Spread: N/A | SpreadOdds: N/A | Total: N/A | TotalOdds: N/A; [6/5/2025 5:07:23 PM] Moneyline: N/A | Spread: N/A | SpreadOdds: N/A | Total: N/A | TotalOdds: N/A;
MLB,N/A,Kansas City Royals St. Louis Cardinals,[6/5/2025 4:33:53 PM] Moneyline: N/A | Spread: N/A | SpreadOdds: N/A | Total: N/A | TotalOdds: N/A; [6/5/2025 4:35:33 PM] Moneyline: +250 | Spread: N/A | SpreadOdds: N/A | Total: N/A | TotalOdds: N/A;
MLB,N/A,Minnesota Twins Athletics,[6/5/2025 4:33:53 PM] Moneyline: +1300 | Spread: +5.5 | SpreadOdds: +100 | Total: O 12.5 | TotalOdds: -138; [6/5/2025 4:35:33 PM] Moneyline: +1300 | Spread: +5.5 | SpreadOdds: -112 | Total: O 12.5 | TotalOdds: -128; [6/5/2025 5:07:23 PM] Moneyline: N/A | Spread: +11.5 | SpreadOdds: -112 | Total: O 17.5 | TotalOdds: -138; [6/5/2025 5:10:50 PM] Moneyline: N/A | Spread: +10.5 | SpreadOdds: -122 | Total: O 16.5 | TotalOdds: -118; [6/5/2025 5:15:07 PM] Moneyline: N/A | Spread: N/A | SpreadOdds: N/A | Total: N/A | TotalOdds: N/A; [6/5/2025 5:20:07 PM] Moneyline: N/A | Spread: +10.5 | SpreadOdds: +116 | Total: O 15.5 | TotalOdds: -140; [6/5/2025 5:25:06 PM] Moneyline: N/A | Spread: N/A | SpreadOdds: N/A | Total: N/A | TotalOdds: N/A;
MLB,N/A,New York Mets Los Angeles Dodgers,[6/5/2025 4:33:53 PM] Moneyline: -158 | Spread: -1.5 | SpreadOdds: +104 | Total: O 9.5 | TotalOdds: +104; [6/5/2025 4:35:33 PM] Moneyline: -148 | Spread: -1.5 | SpreadOdds: +110 | Total: O 9.5 | TotalOdds: +106; [6/5/2025 5:07:23 PM] Moneyline: -138 | Spread: -1.5 | SpreadOdds: +128 | Total: O 13.5 | TotalOdds: -104; [6/5/2025 5:10:50 PM] Moneyline: -146 | Spread: -1.5 | SpreadOdds: +120 | Total: O 13.5 | TotalOdds: +100; [6/5/2025 5:15:07 PM] Moneyline: -146 | Spread: -1.5 | SpreadOdds: +126 | Total: O 13.5 | TotalOdds: -102; [6/5/2025 5:20:07 PM] Moneyline: -200 | Spread: -1.5 | SpreadOdds: -114 | Total: O 13.5 | TotalOdds: -132; [6/5/2025 5:25:06 PM] Moneyline: N/A | Spread: N/A | SpreadOdds: N/A | Total: N/A | TotalOdds: N/A;
MLB,N/A,Philadelphia Phillies Toronto Blue Jays,[6/5/2025 4:33:53 PM] Moneyline: N/A | Spread: +7.5 | SpreadOdds: +132 | Total: O 11.5 | TotalOdds: -132; [6/5/2025 4:35:33 PM] Moneyline: N/A | Spread: +7.5 | SpreadOdds: +126 | Total: O 12.5 | TotalOdds: +114; [6/5/2025 5:07:23 PM] Moneyline: N/A | Spread: +7.5 | SpreadOdds: +158 | Total: O 11.5 | TotalOdds: -154; [6/5/2025 5:10:50 PM] Moneyline: N/A | Spread: +7.5 | SpreadOdds: +162 | Total: O 11.5 | TotalOdds: -114; [6/5/2025 5:15:07 PM] Moneyline: N/A | Spread: +7.5 | SpreadOdds: +116 | Total: O 11.5 | TotalOdds: +110; [6/5/2025 5:20:07 PM] Moneyline: N/A | Spread: +8.5 | SpreadOdds: -400 | Total: O 10.5 | TotalOdds: +100; [6/5/2025 5:25:06 PM] Moneyline: N/A | Spread: N/A | SpreadOdds: N/A | Total: N/A | TotalOdds: N/A;
MLB,N/A,San Diego Padres San Francisco Giants,[6/5/2025 4:33:53 PM] Moneyline: -295 | Spread: -1.5 | SpreadOdds: -138 | Total: O 6.5 | TotalOdds: -136; [6/5/2025 4:35:33 PM] Moneyline: -350 | Spread: -1.5 | SpreadOdds: -160 | Total: O 6.5 | TotalOdds: -128; [6/5/2025 5:07:23 PM] Moneyline: +240 | Spread: +1.5 | SpreadOdds: -160 | Total: O 8.5 | TotalOdds: -106; [6/5/2025 5:10:50 PM] Moneyline: +210 | Spread: +1.5 | SpreadOdds: -225 | Total: O 7.5 | TotalOdds: -144; [6/5/2025 5:15:07 PM] Moneyline: +180 | Spread: +1.5 | SpreadOdds: -250 | Total: O 7.5 | TotalOdds: -138; [6/5/2025 5:20:07 PM] Moneyline: +255 | Spread: +1.5 | SpreadOdds: -205 | Total: O 7.5 | TotalOdds: -102; [6/5/2025 5:25:06 PM] Moneyline: +290 | Spread: +1.5 | SpreadOdds: -205 | Total: O 7.5 | TotalOdds: +114;
MLB,2025-06-02T22:41:00.000Z,Colorado Rockies Miami Marlins,[6/2/2025 11:59:01 AM] Moneyline: +166 | Spread: +1.5 | SpreadOdds: -130 | Total: O 8 | TotalOdds: -114; [6/2/2025 12:00:06 PM] Moneyline: +166 | Spread: +1.5 | SpreadOdds: -130 | Total: O 8 | TotalOdds: -114; [6/2/2025 12:02:01 PM] Moneyline: +166 | Spread: +1.5 | SpreadOdds: -130 | Total: O 8 | TotalOdds: -114; [6/2/2025 12:05:05 PM] Moneyline: +166 | Spread: +1.5 | SpreadOdds: -130 | Total: O 8 | TotalOdds: -114; [6/2/2025 12:10:05 PM] Moneyline: +166 | Spread: +1.5 | SpreadOdds: -132 | Total: O 8 | TotalOdds: -114; [6/2/2025 4:09:56 PM] Moneyline: +166 | Spread: +1.5 | SpreadOdds: -130 | Total: O 8 | TotalOdds: -114; [6/2/2025 4:41:47 PM] Moneyline: +166 | Spread: +1.5 | SpreadOdds: -130 | Total: O 8 | TotalOdds: -114;
MLB,2025-06-02T23:11:00.000Z,Los Angeles Angels Boston Red Sox,[6/2/2025 11:59:01 AM] Moneyline: +124 | Spread: +1.5 | SpreadOdds: -160 | Total: O 9.5 | TotalOdds: -115; [6/2/2025 12:00:06 PM] Moneyline: +124 | Spread: +1.5 | SpreadOdds: -160 | Total: O 9.5 | TotalOdds: -115; [6/2/2025 12:02:01 PM] Moneyline: +124 | Spread: +1.5 | SpreadOdds: -160 | Total: O 9.5 | TotalOdds: -115; [6/2/2025 12:05:05 PM] Moneyline: +124 | Spread: +1.5 | SpreadOdds: -160 | Total: O 9.5 | TotalOdds: -115; [6/2/2025 12:10:05 PM] Moneyline: +124 | Spread: +1.5 | SpreadOdds: -160 | Total: O 9.5 | TotalOdds: -115; [6/2/2025 4:09:56 PM] Moneyline: +124 | Spread: +1.5 | SpreadOdds: -160 | Total: O 9.5 | TotalOdds: -118; [6/2/2025 4:41:47 PM] Moneyline: +124 | Spread: +1.5 | SpreadOdds: -160 | Total: O 9.5 | TotalOdds: -118;
MLB,2025-06-02T23:11:00.000Z,Milwaukee Brewers Cincinnati Reds,[6/2/2025 11:59:01 AM] Moneyline: +100 | Spread: -1.5 | SpreadOdds: +162 | Total: O 9 | TotalOdds: -112; [6/2/2025 12:00:06 PM] Moneyline: +100 | Spread: -1.5 | SpreadOdds: +162 | Total: O 9 | TotalOdds: -112; [6/2/2025 12:02:01 PM] Moneyline: +100 | Spread: -1.5 | SpreadOdds: +162 | Total: O 9 | TotalOdds: -112; [6/2/2025 12:05:05 PM] Moneyline: +100 | Spread: -1.5 | SpreadOdds: +162 | Total: O 9 | TotalOdds: -112; [6/2/2025 12:10:05 PM] Moneyline: +100 | Spread: -1.5 | SpreadOdds: +162 | Total: O 9 | TotalOdds: -112; [6/2/2025 4:09:56 PM] Moneyline: -106 | Spread: -1.5 | SpreadOdds: +152 | Total: O 9 | TotalOdds: -110; [6/2/2025 4:41:47 PM] Moneyline: -106 | Spread: -1.5 | SpreadOdds: +155 | Total: O 9 | TotalOdds: -115;
MLB,2025-06-02T23:41:00.000Z,Detroit Tigers Chicago White Sox,[6/2/2025 11:59:01 AM] Moneyline: -215 | Spread: -1.5 | SpreadOdds: -137 | Total: O 8.5 | TotalOdds: +102; [6/2/2025 12:00:06 PM] Moneyline: -215 | Spread: -1.5 | SpreadOdds: -137 | Total: O 8.5 | TotalOdds: +102; [6/2/2025 12:02:01 PM] Moneyline: -215 | Spread: -1.5 | SpreadOdds: -137 | Total: O 8.5 | TotalOdds: +102; [6/2/2025 12:05:05 PM] Moneyline: -215 | Spread: -1.5 | SpreadOdds: -137 | Total: O 8.5 | TotalOdds: +102; [6/2/2025 12:10:05 PM] Moneyline: -215 | Spread: -1.5 | SpreadOdds: -137 | Total: O 8.5 | TotalOdds: +102; [6/2/2025 4:09:56 PM] Moneyline: -225 | Spread: -1.5 | SpreadOdds: -140 | Total: O 8.5 | TotalOdds: -112; [6/2/2025 4:41:47 PM] Moneyline: -230 | Spread: -1.5 | SpreadOdds: -140 | Total: O 8.5 | TotalOdds: -112;
MLB,2025-06-03T01:46:00.000Z,San Diego Padres San Francisco Giants,[6/2/2025 11:59:01 AM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -146 | Total: O 7.5 | TotalOdds: -102; [6/2/2025 12:00:06 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -146 | Total: O 7.5 | TotalOdds: -102; [6/2/2025 12:02:01 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -146 | Total: O 7.5 | TotalOdds: -102; [6/2/2025 12:05:05 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -146 | Total: O 7.5 | TotalOdds: -102; [6/2/2025 12:10:05 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -146 | Total: O 7.5 | TotalOdds: -102; [6/2/2025 4:09:56 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -152 | Total: O 7.5 | TotalOdds: -102; [6/2/2025 4:41:47 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -154 | Total: O 7.5 | TotalOdds: -102;
MLB,2025-06-03T02:06:00.000Z,Minnesota Twins Athletics,[6/2/2025 11:59:01 AM] Moneyline: -162 | Spread: -1.5 | SpreadOdds: +100 | Total: O 9.5 | TotalOdds: +100; [6/2/2025 12:00:06 PM] Moneyline: -162 | Spread: -1.5 | SpreadOdds: +100 | Total: O 9.5 | TotalOdds: +100; [6/2/2025 12:02:01 PM] Moneyline: -162 | Spread: -1.5 | SpreadOdds: +100 | Total: O 9.5 | TotalOdds: +100; [6/2/2025 12:05:05 PM] Moneyline: -162 | Spread: -1.5 | SpreadOdds: +104 | Total: O 9.5 | TotalOdds: +100; [6/2/2025 12:10:05 PM] Moneyline: -162 | Spread: -1.5 | SpreadOdds: +104 | Total: O 9.5 | TotalOdds: +100; [6/2/2025 4:09:56 PM] Moneyline: -162 | Spread: -1.5 | SpreadOdds: -105 | Total: O 9.5 | TotalOdds: -110; [6/2/2025 4:41:47 PM] Moneyline: -168 | Spread: -1.5 | SpreadOdds: -113 | Total: O 9.5 | TotalOdds: -110;
MLB,2025-06-03T02:11:00.000Z,New York Mets Los Angeles Dodgers,[6/2/2025 11:59:01 AM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -146 | Total: O 9 | TotalOdds: -122; [6/2/2025 12:00:06 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -146 | Total: O 9 | TotalOdds: -122; [6/2/2025 12:02:01 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -146 | Total: O 9 | TotalOdds: -122; [6/2/2025 12:05:05 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -146 | Total: O 9 | TotalOdds: -122; [6/2/2025 12:10:05 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -146 | Total: O 9 | TotalOdds: -122; [6/2/2025 4:09:56 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -142 | Total: O 9.5 | TotalOdds: -104; [6/2/2025 4:41:47 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -142 | Total: O 9.5 | TotalOdds: -104;
MLB,2025-06-03T22:41:00.000Z,Colorado Rockies Miami Marlins,[6/2/2025 4:41:47 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -146 | Total: O 8.5 | TotalOdds: -110; [6/3/2025 1:41:59 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -144 | Total: O 8 | TotalOdds: -115; [6/3/2025 3:18:28 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -142 | Total: O 8.5 | TotalOdds: -102; [6/3/2025 3:25:14 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -142 | Total: O 8.5 | TotalOdds: -102; [6/3/2025 3:27:39 PM] Moneyline: +146 | Spread: +1.5 | SpreadOdds: -142 | Total: O 8.5 | TotalOdds: -108;
MLB,2025-06-03T22:41:00.000Z,Houston Astros Pittsburgh Pirates,[6/2/2025 4:09:56 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -170 | Total: O 7.5 | TotalOdds: -104; [6/2/2025 4:41:47 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -170 | Total: O 7.5 | TotalOdds: -104; [6/3/2025 1:41:59 PM] Moneyline: +132 | Spread: +1.5 | SpreadOdds: -164 | Total: O 7 | TotalOdds: -118; [6/3/2025 3:18:28 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -160 | Total: O 7 | TotalOdds: -106; [6/3/2025 3:25:14 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -160 | Total: O 7 | TotalOdds: -106; [6/3/2025 3:27:39 PM] Moneyline: +134 | Spread: +1.5 | SpreadOdds: -160 | Total: O 7 | TotalOdds: -106;
MLB,2025-06-03T22:46:00.000Z,Chicago Cubs Washington Nationals,[6/2/2025 4:09:56 PM] Moneyline: -142 | Spread: -1.5 | SpreadOdds: +112 | Total: O 9.5 | TotalOdds: -104; [6/2/2025 4:41:47 PM] Moneyline: -142 | Spread: -1.5 | SpreadOdds: +112 | Total: O 9.5 | TotalOdds: -104; [6/3/2025 1:41:59 PM] Moneyline: -154 | Spread: -1.5 | SpreadOdds: +105 | Total: O 9.5 | TotalOdds: +100; [6/3/2025 3:18:28 PM] Moneyline: -154 | Spread: -1.5 | SpreadOdds: +104 | Total: O 9.5 | TotalOdds: -104; [6/3/2025 3:25:14 PM] Moneyline: -154 | Spread: -1.5 | SpreadOdds: +104 | Total: O 9.5 | TotalOdds: -104; [6/3/2025 3:27:39 PM] Moneyline: -154 | Spread: -1.5 | SpreadOdds: +104 | Total: O 9.5 | TotalOdds: -104;
MLB,2025-06-03T23:06:00.000Z,Cleveland Guardians New York Yankees,[6/2/2025 4:09:56 PM] Moneyline: +152 | Spread: +1.5 | SpreadOdds: -137 | Total: O 8 | TotalOdds: -118; [6/2/2025 4:41:47 PM] Moneyline: +160 | Spread: +1.5 | SpreadOdds: -128 | Total: O 8 | TotalOdds: -118; [6/3/2025 1:41:59 PM] Moneyline: +168 | Spread: +1.5 | SpreadOdds: -126 | Total: O 8 | TotalOdds: -102; [6/3/2025 3:18:28 PM] Moneyline: +168 | Spread: +1.5 | SpreadOdds: -125 | Total: O 8 | TotalOdds: -102; [6/3/2025 3:25:14 PM] Moneyline: +168 | Spread: +1.5 | SpreadOdds: -125 | Total: O 8 | TotalOdds: -102; [6/3/2025 3:27:39 PM] Moneyline: +168 | Spread: +1.5 | SpreadOdds: -125 | Total: O 8 | TotalOdds: -102;
MLB,2025-06-03T23:08:00.000Z,Philadelphia Phillies Toronto Blue Jays,[6/2/2025 4:09:56 PM] Moneyline: -158 | Spread: -1.5 | SpreadOdds: +108 | Total: O 8.5 | TotalOdds: -110; [6/2/2025 4:41:47 PM] Moneyline: -158 | Spread: -1.5 | SpreadOdds: +108 | Total: O 8.5 | TotalOdds: -110; [6/3/2025 1:41:59 PM] Moneyline: -136 | Spread: -1.5 | SpreadOdds: +118 | Total: O 9 | TotalOdds: +100; [6/3/2025 3:18:28 PM] Moneyline: -138 | Spread: -1.5 | SpreadOdds: +118 | Total: O 9 | TotalOdds: +100; [6/3/2025 3:25:14 PM] Moneyline: -138 | Spread: -1.5 | SpreadOdds: +118 | Total: O 9 | TotalOdds: +100; [6/3/2025 3:27:39 PM] Moneyline: -138 | Spread: -1.5 | SpreadOdds: +118 | Total: O 9 | TotalOdds: +100;
MLB,2025-06-03T23:11:00.000Z,Los Angeles Angels Boston Red Sox,[6/2/2025 4:09:56 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -176 | Total: O 9.5 | TotalOdds: -104; [6/2/2025 4:41:47 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -176 | Total: O 9.5 | TotalOdds: -104; [6/3/2025 1:41:59 PM] Moneyline: +112 | Spread: +1.5 | SpreadOdds: -182 | Total: O 9.5 | TotalOdds: +100; [6/3/2025 3:18:28 PM] Moneyline: +112 | Spread: +1.5 | SpreadOdds: -178 | Total: O 9.5 | TotalOdds: +100; [6/3/2025 3:25:14 PM] Moneyline: +112 | Spread: +1.5 | SpreadOdds: -178 | Total: O 9.5 | TotalOdds: +100; [6/3/2025 3:27:39 PM] Moneyline: +112 | Spread: +1.5 | SpreadOdds: -178 | Total: O 9.5 | TotalOdds: +100;
MLB,2025-06-03T23:11:00.000Z,Milwaukee Brewers Cincinnati Reds,[6/2/2025 4:09:56 PM] Moneyline: -102 | Spread: -1.5 | SpreadOdds: +164 | Total: O 8 | TotalOdds: -115; [6/2/2025 4:41:47 PM] Moneyline: -102 | Spread: -1.5 | SpreadOdds: +164 | Total: O 8 | TotalOdds: -115; [6/3/2025 1:41:59 PM] Moneyline: +110 | Spread: +1.5 | SpreadOdds: -200 | Total: O 8.5 | TotalOdds: +100; [6/3/2025 3:18:28 PM] Moneyline: +110 | Spread: +1.5 | SpreadOdds: -200 | Total: O 8 | TotalOdds: -115; [6/3/2025 3:25:14 PM] Moneyline: +110 | Spread: +1.5 | SpreadOdds: -200 | Total: O 8 | TotalOdds: -115; [6/3/2025 3:27:39 PM] Moneyline: +110 | Spread: +1.5 | SpreadOdds: -200 | Total: O 8 | TotalOdds: -115;
MLB,2025-06-03T23:16:00.000Z,Arizona Diamondbacks Atlanta Braves,[6/2/2025 4:09:56 PM] Moneyline: +128 | Spread: +1.5 | SpreadOdds: -164 | Total: O 8.5 | TotalOdds: -124; [6/2/2025 4:41:47 PM] Moneyline: +128 | Spread: +1.5 | SpreadOdds: -164 | Total: O 8.5 | TotalOdds: -124; [6/3/2025 1:41:59 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -170 | Total: O 9 | TotalOdds: +100; [6/3/2025 3:18:28 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -154 | Total: O 9 | TotalOdds: +100; [6/3/2025 3:25:14 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -152 | Total: O 9 | TotalOdds: +100; [6/3/2025 3:27:39 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -152 | Total: O 9 | TotalOdds: +100;
MLB,2025-06-03T23:36:00.000Z,Texas Rangers Tampa Bay Rays,[6/2/2025 4:09:56 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -182 | Total: O 8 | TotalOdds: -115; [6/2/2025 4:41:47 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -182 | Total: O 8 | TotalOdds: -115; [6/3/2025 1:41:59 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -176 | Total: O 8 | TotalOdds: -106; [6/3/2025 3:18:28 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -182 | Total: O 7.5 | TotalOdds: -110; [6/3/2025 3:25:14 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -182 | Total: O 7.5 | TotalOdds: -110; [6/3/2025 3:27:39 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -182 | Total: O 7.5 | TotalOdds: -110;
MLB,2025-06-03T23:41:00.000Z,Detroit Tigers Chicago White Sox,[6/3/2025 1:41:59 PM] Moneyline: -172 | Spread: -1.5 | SpreadOdds: -104 | Total: O 8.5 | TotalOdds: -110; [6/3/2025 3:18:28 PM] Moneyline: -172 | Spread: -1.5 | SpreadOdds: -102 | Total: O 8.5 | TotalOdds: -110; [6/3/2025 3:25:14 PM] Moneyline: -172 | Spread: -1.5 | SpreadOdds: -102 | Total: O 8.5 | TotalOdds: -110; [6/3/2025 3:27:39 PM] Moneyline: -172 | Spread: -1.5 | SpreadOdds: -102 | Total: O 8.5 | TotalOdds: -110;
MLB,2025-06-03T23:46:00.000Z,Kansas City Royals St. Louis Cardinals,[6/2/2025 4:09:56 PM] Moneyline: +124 | Spread: +1.5 | SpreadOdds: -176 | Total: O 8.5 | TotalOdds: -120; [6/2/2025 4:41:47 PM] Moneyline: +124 | Spread: +1.5 | SpreadOdds: -176 | Total: O 8.5 | TotalOdds: -120; [6/3/2025 1:41:59 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -166 | Total: O 9 | TotalOdds: -104; [6/3/2025 3:18:28 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -166 | Total: O 9 | TotalOdds: -110; [6/3/2025 3:25:14 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -166 | Total: O 9 | TotalOdds: -110; [6/3/2025 3:27:39 PM] Moneyline: +130 | Spread: +1.5 | SpreadOdds: -166 | Total: O 9 | TotalOdds: -110;
MLB,2025-06-04T01:41:00.000Z,Baltimore Orioles Seattle Mariners,[6/2/2025 4:09:56 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -160 | Total: O 7.5 | TotalOdds: -110; [6/2/2025 4:41:47 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -160 | Total: O 7.5 | TotalOdds: -110; [6/3/2025 1:41:59 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -172 | Total: O 7.5 | TotalOdds: -108; [6/3/2025 3:18:28 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -172 | Total: O 7.5 | TotalOdds: -108; [6/3/2025 3:25:14 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -172 | Total: O 7.5 | TotalOdds: -108; [6/3/2025 3:27:39 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -172 | Total: O 7.5 | TotalOdds: -108;
MLB,2025-06-04T01:46:00.000Z,San Diego Padres San Francisco Giants,[6/3/2025 1:41:59 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -164 | Total: O 7.5 | TotalOdds: -122; [6/3/2025 3:18:28 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -164 | Total: O 7.5 | TotalOdds: -122; [6/3/2025 3:25:14 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -164 | Total: O 7.5 | TotalOdds: -122; [6/3/2025 3:27:39 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -164 | Total: O 7.5 | TotalOdds: -122;
MLB,2025-06-04T02:06:00.000Z,Minnesota Twins Athletics,[6/3/2025 1:41:59 PM] Moneyline: -196 | Spread: -1.5 | SpreadOdds: -120 | Total: O 10 | TotalOdds: -114; [6/3/2025 3:18:28 PM] Moneyline: -198 | Spread: -1.5 | SpreadOdds: -125 | Total: O 10 | TotalOdds: -114; [6/3/2025 3:25:14 PM] Moneyline: -198 | Spread: -1.5 | SpreadOdds: -125 | Total: O 10 | TotalOdds: -114; [6/3/2025 3:27:39 PM] Moneyline: -198 | Spread: -1.5 | SpreadOdds: -125 | Total: O 10 | TotalOdds: -114;
